NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
362,-71,-78,-76,-70,-88,-76,31
363,-71,-77,-74,-70,-87,-75,31
364,-70,-78,-77,-69,-86,-75,31
365,-71,-75,-73,-68,-86,-79,31
366,-70,-79,-75,-70,-89,-75,31
367,-70,-78,-75,-69,-85,-78,31
368,-70,-79,-72,-68,-85,-77,31
369,-71,-78,-71,-67,-86,-74,31
370,-70,-75,-73,-68,-87,-78,31
371,-70,-77,-71,-69,-88,-78,31
372,-71,-78,-72,-69,-86,-74,31
373,-70,-78,-73,-68,-85,-77,31
374,-70,-78,-70,-68,-83,-75,31
375,-71,-78,-72,-67,-85,-75,31
376,-71,-78,-73,-68,-86,-74,31
377,-71,-78,-72,-68,-86,-78,31
378,-69,-81,-72,-68,-87,-77,31
379,-71,-79,-73,-69,-86,-80,31
380,-71,-78,-72,-68,-86,-78,31
381,-65,-78,-69,-68,-83,-71,31
382,-65,-78,-72,-67,-83,-81,31
383,-71,-79,-72,-68,-85,-75,31
384,-71,-78,-72,-68,-87,-77,31
385,-70,-79,-72,-68,-87,-79,31
386,-71,-77,-71,-69,-86,-79,31
387,-70,-77,-72,-68,-86,-78,31
388,-71,-78,-73,-68,-86,-79,31
389,-71,-79,-71,-68,-86,-81,31
390,-69,-78,-74,-68,-86,-76,31
391,-71,-78,-72,-67,-88,-82,31
392,-70,-78,-72,-70,-86,-80,31
393,-71,-77,-71,-70,-89,-86,31
394,-70,-77,-73,-69,-84,-78,31
395,-70,-78,-73,-69,-88,-79,31
396,-70,-77,-72,-69,-83,-80,31
397,-71,-77,-72,-69,-82,-80,31
398,-72,-77,-73,-70,-88,-83,31
399,-71,-78,-69,-70,-81,-82,31
400,-71,-77,-75,-70,-88,-82,31
401,-69,-78,-75,-69,-87,-80,31
402,-71,-77,-72,-69,-87,-78,31
403,-71,-78,-73,-71,-89,-79,31
404,-70,-74,-73,-71,-89,-83,31
405,-70,-77,-74,-71,-89,-83,31
406,-71,-75,-75,-70,-86,-83,31
407,-67,-75,-70,-67,-81,-69,31
408,-72,-77,-74,-71,-91,-82,31
409,-71,-75,-75,-71,-88,-86,31
410,-71,-76,-75,-71,-90,-81,31
411,-71,-75,-75,-70,-88,-82,31
412,-72,-76,-77,-72,-87,-81,31
413,-71,-77,-75,-72,-87,-80,31
414,-72,-76,-73,-72,-89,-79,31
415,-72,-77,-74,-70,-88,-86,31
416,-69,-76,-75,-70,-88,-84,31
417,-71,-76,-72,-70,-88,-82,31
418,-67,-83,-70,-68,-88,-85,31
419,-71,-75,-72,-70,-88,-84,31
420,-71,-76,-73,-69,-87,-80,31
421,-72,-77,-74,-72,-89,-83,31
422,-72,-75,-73,-69,-88,-84,31
423,-68,-75,-73,-69,-88,-80,31
424,-72,-75,-73,-69,-80,-81,31
425,-71,-75,-72,-69,-87,-68,31
426,-72,-76,-72,-69,-87,-82,31
427,-72,-75,-75,-70,-88,-81,31
428,-72,-76,-82,-71,-87,-78,31
429,-71,-77,-81,-71,-89,-83,31
430,-71,-76,-76,-71,-88,-83,31
431,-71,-77,-75,-71,-88,-81,31
432,-67,-76,-77,-69,-89,-80,31
433,-72,-77,-75,-70,-80,-79,31
434,-71,-77,-75,-69,-89,-80,31
435,-71,-77,-76,-70,-88,-81,31
436,-67,-77,-77,-70,-87,-79,31
437,-71,-76,-74,-70,-86,-79,31
